pet_id,gender,breed,age,temperature,latitude,longitude,heartbeat,activity_level,ambient_temperature
167,1,2,3.8,38.73,53.33567,-6.25623,98.61,1,10.9
168,0,1,3.4,38.45,53.34403,-6.23837,157.15,0,22.27
169,1,1,3.0,40.08,53.34419,-6.25164,98.82,2,5.87
170,0,2,3.6,39.77,53.3396,-6.25287,58.88,0,15.79
171,1,3,15.0,38.83,53.34598,-6.24003,95.15,1,22.04
172,1,2,3.4,38.07,53.33256,-6.25584,71.13,1,17.89
173,1,2,15.0,39.03,53.33983,-6.25556,134.51,1,14.89
174,1,2,11.9,38.45,53.34382,-6.23942,122.51,1,15.66
175,0,1,3.0,37.5,53.34391,-6.22367,77.12,1,25.56
176,0,2,8.3,38.6,53.34232,-6.22442,112.67,2,19.61
177,0,1,9.0,38.48,53.33881,-6.2452,117.58,0,14.68
178,0,0,10.5,38.7,53.33293,-6.25406,81.7,0,17.72
179,0,1,3.7,38.91,53.33786,-6.23123,108.05,0,20.44
180,1,0,12.2,38.62,53.34112,-6.23145,117.02,0,18.52
181,1,3,13.7,39.34,53.3222,-6.22547,179.7,0,19.23
182,0,2,3.0,37.61,53.3462,-6.25555,114.44,1,14.39
183,0,0,14.0,38.14,53.32206,-6.22371,135.8,1,14.84
184,1,2,13.4,38.74,53.32219,-6.22074,82.36,1,15.76
185,0,3,13.3,36.37,53.32988,-6.23773,99.7,1,15.6
186,0,0,12.0,38.97,53.33288,-6.2573,114.26,0,25.27
187,1,1,7.4,38.45,53.33017,-6.22666,81.59,0,12.39
188,0,0,1.6,38.63,53.33027,-6.23752,83.88,0,10.82
189,0,3,1.3,38.63,53.34891,-6.23685,122.27,0,14.87
190,1,1,8.0,37.81,53.33031,-6.25278,101.44,1,14.21
191,1,3,5.7,38.48,53.32012,-6.22424,127.93,2,16.1
192,0,2,8.3,38.22,53.33801,-6.24337,85.08,0,19.08
193,1,1,11.7,39.08,53.34411,-6.25896,83.99,0,18.81
194,1,0,11.8,36.57,53.3298,-6.22597,110.4,2,19.9
195,0,3,11.8,38.53,53.32164,-6.24564,63.23,0,11.93
196,1,0,4.5,38.55,53.32573,-6.23109,74.8,1,12.78
197,0,2,5.6,38.22,53.34636,-6.2253,127.15,0,16.51
198,0,1,7.2,38.51,53.32207,-6.22355,68.94,1,16.03
199,1,1,1.0,39.05,53.33079,-6.24644,93.41,1,12.89
200,0,1,6.3,38.29,53.33548,-6.25287,86.11,0,24.49
201,0,3,12.1,38.72,53.3223,-6.23008,37.98,0,30.14
202,1,1,10.7,39.59,53.33258,-6.24706,62.99,1,6.24
203,0,2,10.9,38.61,53.34048,-6.22004,136.11,1,26.8
204,1,1,8.6,38.02,53.33441,-6.25413,69.77,1,22.54
205,0,2,12.5,40.54,53.32141,-6.25873,90.25,2,32.73
206,1,3,8.5,38.57,53.33088,-6.24934,186.08,0,17.14
207,1,3,11.1,38.36,53.33804,-6.25543,66.3,2,14.44
208,1,1,14.3,38.61,53.3289,-6.24021,107.3,0,11.17
209,1,3,9.8,37.9,53.32051,-6.2329,179.53,1,23.87
210,1,0,6.8,36.95,53.32971,-6.23269,93.09,0,20.16
211,1,2,2.1,38.1,53.34054,-6.23121,80.09,0,17.44
212,1,1,3.1,38.51,53.33284,-6.23702,99.22,1,12.69
213,1,1,12.6,39.75,53.34867,-6.22241,78.0,0,31.47
214,1,2,7.7,38.41,53.34245,-6.2515,32.64,1,10.01
215,0,2,7.9,37.91,53.34256,-6.23228,82.87,0,12.93
216,1,2,7.6,38.87,53.32717,-6.24833,67.13,3,10.54
217,1,3,0.7,37.36,53.32327,-6.23149,89.53,1,12.17
218,0,0,0.6,38.1,53.34714,-6.22276,82.88,1,21.07
219,1,3,10.2,38.52,53.33186,-6.24667,99.48,0,18.36
220,1,3,11.5,38.33,53.33583,-6.24112,73.37,0,27.95
221,1,2,5.8,39.03,53.34714,-6.22678,82.94,3,27.19
222,1,2,14.8,38.33,53.34209,-6.25509,94.87,0,22.27
223,0,0,4.2,39.67,53.34329,-6.24313,80.03,0,22.71
224,0,3,3.9,38.84,53.32064,-6.2281,112.0,3,22.01
225,1,3,8.6,38.53,53.32844,-6.23086,110.67,2,32.05
226,1,3,7.9,38.12,53.33214,-6.25836,120.43,2,15.69
227,0,2,11.6,37.75,53.34227,-6.24683,126.67,0,16.06
228,1,0,13.5,38.44,53.33812,-6.24954,169.56,0,18.45
229,0,1,13.0,38.2,53.3438,-6.23218,83.38,1,29.29
230,1,0,14.0,38.29,53.32558,-6.25424,84.31,0,16.74
231,0,2,14.1,38.27,53.34447,-6.22472,56.74,0,21.05
232,1,0,3.5,38.48,53.32388,-6.23907,101.7,2,20.32
233,1,1,0.9,39.15,53.34844,-6.24918,103.0,0,17.07
234,1,3,6.5,40.06,53.33965,-6.23116,81.31,0,18.01
235,1,0,9.7,38.74,53.32085,-6.25003,40.65,1,22.19
236,0,1,0.6,38.4,53.32769,-6.22397,63.29,2,20.97
237,1,2,10.9,38.57,53.32536,-6.2414,66.8,2,23.16
238,1,0,1.1,38.22,53.32262,-6.24809,107.08,0,14.46
239,1,3,7.7,37.87,53.34498,-6.249,82.33,1,21.28
240,1,2,3.6,38.61,53.33923,-6.2494,80.78,1,17.69
241,0,3,9.5,38.54,53.34461,-6.22329,194.68,2,22.91
242,1,1,6.5,40.13,53.33193,-6.22739,77.23,0,11.95
243,1,2,12.6,38.63,53.3316,-6.25829,71.76,1,15.65
244,0,3,10.7,38.28,53.33346,-6.24663,101.14,0,18.08
245,1,0,0.9,40.98,53.33795,-6.23476,112.31,0,20.21
246,0,1,5.4,38.67,53.34054,-6.22841,97.29,2,22.44
247,1,0,14.9,38.33,53.32436,-6.23852,34.42,0,17.88
248,1,3,12.7,38.86,53.3259,-6.25857,82.98,0,21.98
249,1,0,10.3,39.36,53.34875,-6.23833,80.56,2,12.49
250,1,0,13.2,36.09,53.34803,-6.25207,79.92,0,15.25
251,0,2,2.0,38.04,53.34857,-6.22567,68.15,1,21.48
252,0,1,10.2,38.72,53.32646,-6.23903,87.61,0,14.86
253,1,3,0.9,37.93,53.33057,-6.25837,76.58,1,22.26
254,1,0,13.1,38.62,53.33899,-6.25203,56.02,2,23.54
255,1,2,11.0,38.41,53.33807,-6.23063,128.07,0,12.38
256,0,2,12.9,38.59,53.34304,-6.2467,172.18,1,24.12
257,1,3,8.2,38.21,53.3406,-6.22316,57.35,0,26.42
258,0,0,11.4,39.11,53.34729,-6.25984,169.65,3,17.86
259,1,0,11.1,38.79,53.34522,-6.23018,98.3,1,15.83
260,0,2,4.1,36.81,53.32306,-6.24417,108.13,0,13.99
261,1,0,1.1,38.72,53.32506,-6.25019,90.47,2,14.43
262,1,0,10.6,39.19,53.3271,-6.24182,98.41,0,17.65
263,0,2,10.4,38.4,53.3259,-6.23048,85.52,1,22.76
264,0,2,0.9,38.82,53.34932,-6.25583,98.05,3,15.51
265,1,2,4.4,36.24,53.34496,-6.24611,84.98,0,11.32
266,0,2,3.5,39.65,53.33984,-6.254,54.28,0,23.61
267,0,2,8.5,38.61,53.34495,-6.23915,108.81,1,18.76
268,0,0,13.4,38.34,53.3475,-6.23901,57.29,3,24.09
269,1,0,13.5,38.5,53.32055,-6.25213,110.28,1,8.9
270,1,3,12.3,39.58,53.33491,-6.24022,86.0,2,6.74
271,0,3,13.8,38.78,53.33865,-6.254,83.0,0,21.58
272,0,0,6.7,36.47,53.33444,-6.25838,105.93,1,16.1
273,1,1,7.1,40.76,53.32283,-6.24067,143.83,0,24.3
274,0,1,4.5,39.15,53.33209,-6.24835,84.67,0,11.99
275,1,3,12.7,40.39,53.32542,-6.24456,87.84,0,15.96
276,0,0,14.3,38.43,53.32131,-6.25028,66.4,3,14.93
277,0,1,1.9,38.29,53.34785,-6.24256,189.87,2,21.88
278,1,3,10.9,38.92,53.341,-6.22801,78.67,0,9.22
279,0,2,2.0,38.11,53.32499,-6.22966,116.18,1,16.03
280,0,3,5.6,37.85,53.34217,-6.23778,85.94,0,16.62
281,0,3,11.6,37.58,53.3304,-6.25447,65.06,1,19.66
282,1,0,13.4,38.34,53.33334,-6.24394,92.4,2,11.82
283,0,0,10.0,38.24,53.33812,-6.22751,100.16,0,12.74
284,0,3,11.0,38.68,53.33763,-6.25519,91.84,1,8.3
285,1,3,14.8,38.96,53.33719,-6.25085,123.64,0,29.04
286,1,0,14.5,38.22,53.34322,-6.22086,71.47,1,5.84
287,0,1,1.1,40.46,53.32704,-6.24599,85.6,1,29.28
288,1,1,10.0,38.19,53.32666,-6.24405,134.85,0,16.21
289,0,3,13.3,38.68,53.34994,-6.25718,87.7,0,6.54
290,1,1,7.2,38.0,53.33484,-6.25486,100.97,0,24.14
291,0,1,13.5,38.26,53.33757,-6.25669,93.81,3,24.45
292,1,0,2.1,38.56,53.33005,-6.23797,87.17,0,24.5
293,1,0,10.1,38.46,53.3373,-6.24682,88.69,2,20.56
294,0,2,1.9,39.32,53.32953,-6.24563,59.96,0,19.94
295,1,2,9.6,38.54,53.32297,-6.25706,68.37,2,17.5
296,0,1,2.4,38.2,53.33796,-6.23787,91.91,0,27.76
297,1,3,8.2,38.85,53.33929,-6.25656,152.5,0,20.34
298,1,2,1.2,37.93,53.32253,-6.23732,187.71,0,10.98
299,0,1,10.2,38.54,53.32651,-6.24472,103.07,0,15.63
300,0,1,13.1,38.21,53.33553,-6.22088,83.0,2,5.32
301,1,2,2.6,38.3,53.32159,-6.22503,86.2,0,17.48
302,1,1,8.1,38.26,53.32501,-6.22397,87.78,2,12.58
303,1,0,14.3,38.39,53.33963,-6.24977,74.4,0,11.78
304,1,0,13.8,38.37,53.33106,-6.23187,86.38,0,20.2
305,0,1,1.3,38.57,53.34831,-6.25928,115.11,0,12.53
306,1,1,13.2,38.22,53.32819,-6.24533,60.2,3,18.52
307,1,0,6.1,38.8,53.33475,-6.23076,129.59,2,21.37
308,1,1,5.2,38.1,53.34217,-6.2366,104.3,1,29.99
309,1,0,3.0,38.37,53.34618,-6.23546,69.75,0,16.13
310,0,1,4.2,38.31,53.33047,-6.23688,51.8,1,5.6
311,1,0,4.0,38.93,53.33074,-6.22694,55.75,3,24.22
312,1,3,6.6,38.63,53.33767,-6.24913,90.93,1,22.39
313,0,2,10.6,38.46,53.34452,-6.23755,63.45,0,21.98
314,0,0,5.0,38.66,53.33639,-6.25424,64.2,0,25.9
315,1,1,7.9,38.39,53.3239,-6.22282,87.07,2,22.32
316,0,0,10.5,38.4,53.33984,-6.22628,77.97,1,19.6
317,1,1,13.0,36.21,53.32559,-6.2483,150.72,0,11.56
318,1,3,5.1,38.43,53.32887,-6.24552,164.74,0,29.81
319,1,0,13.4,38.3,53.34131,-6.22404,92.59,0,19.84
320,1,3,11.7,40.32,53.32466,-6.25402,127.04,1,15.88
321,1,2,7.4,38.22,53.32939,-6.25666,90.07,1,21.72
322,0,3,0.9,38.36,53.32072,-6.24073,122.25,2,11.83
323,0,0,6.3,36.78,53.33595,-6.22923,109.0,0,18.63
324,0,3,5.2,36.51,53.32679,-6.22619,128.1,2,18.41
325,0,3,13.8,38.54,53.33795,-6.23424,67.94,0,5.93
326,1,2,1.8,38.42,53.34776,-6.25763,100.56,0,23.2
327,1,0,11.7,38.34,53.34342,-6.23948,101.26,0,16.55
328,0,3,0.8,38.92,53.34145,-6.2519,106.1,0,18.64
329,1,2,11.5,36.75,53.33904,-6.23782,96.07,3,20.96
330,0,0,9.0,38.24,53.34857,-6.23437,192.84,0,15.8
331,0,2,10.4,38.33,53.33769,-6.23099,99.16,0,23.02
332,1,3,6.1,37.8,53.33481,-6.24621,32.94,3,20.74
333,1,3,0.9,40.7,53.33444,-6.25322,47.24,2,31.45
334,0,2,11.9,38.4,53.33427,-6.22662,99.82,0,22.96
335,1,3,3.5,36.2,53.33487,-6.24486,144.82,2,28.48
336,0,0,10.3,40.73,53.32089,-6.24568,107.66,0,25.26
337,0,3,10.0,38.91,53.33284,-6.25275,110.32,0,15.79
338,0,1,7.5,38.32,53.34508,-6.22206,89.29,1,17.87
339,0,2,6.6,38.18,53.33938,-6.25379,82.54,3,22.95
340,0,1,2.0,40.42,53.32776,-6.24452,106.47,2,22.3
341,0,3,13.1,38.37,53.32675,-6.24435,61.7,0,19.46
342,0,2,13.4,38.44,53.33645,-6.2391,110.69,2,17.49
343,0,3,12.6,38.72,53.3297,-6.23077,108.88,0,15.17
344,0,0,1.9,38.1,53.34641,-6.24283,69.43,1,11.16
345,1,1,12.4,37.27,53.33482,-6.22076,111.4,1,20.89
346,0,0,8.7,38.68,53.32981,-6.25578,94.4,2,21.37
347,1,2,0.8,38.75,53.32987,-6.24428,137.31,1,15.52
348,0,2,6.1,40.35,53.33595,-6.23873,61.12,1,13.25
349,1,1,2.8,40.73,53.33738,-6.25244,118.47,0,16.37
350,1,2,3.0,40.99,53.32708,-6.25407,87.49,2,16.16
351,1,0,10.7,37.57,53.3485,-6.24553,120.33,1,23.15
352,1,3,14.1,38.28,53.32479,-6.23197,89.87,0,5.96
353,1,0,2.8,38.54,53.32079,-6.25793,162.69,0,21.73
354,0,1,1.3,37.69,53.32282,-6.23585,91.3,0,20.71
355,1,1,7.2,38.13,53.32455,-6.23836,73.96,0,20.41
356,0,3,2.8,38.19,53.33284,-6.2541,142.67,1,7.09
357,0,3,8.6,37.69,53.33885,-6.24384,135.05,1,17.19
358,1,3,11.0,37.61,53.32516,-6.24953,100.18,0,20.65
359,1,1,9.1,38.09,53.34705,-6.22484,85.54,1,10.72
360,0,1,2.8,38.06,53.32887,-6.24904,111.5,1,27.82
361,1,2,3.8,38.39,53.32676,-6.22507,102.4,0,17.18
362,0,0,3.7,39.16,53.32723,-6.25836,102.85,1,17.99
363,1,1,3.5,38.2,53.3209,-6.22047,116.1,1,16.3
364,0,0,12.8,39.03,53.33837,-6.24194,114.43,2,17.66
365,0,0,10.6,38.4,53.33512,-6.22024,115.84,0,15.87
366,1,1,1.8,38.33,53.32233,-6.25638,85.5,0,19.23
367,0,1,10.8,38.65,53.3232,-6.2266,93.18,1,12.43
368,0,3,12.8,37.7,53.33744,-6.23207,63.6,0,27.39
369,0,2,11.4,39.11,53.3438,-6.25647,72.48,0,20.76
370,1,0,6.7,38.7,53.34741,-6.23799,37.25,0,19.5
371,0,0,9.3,38.21,53.323,-6.22656,117.82,0,20.32
372,0,1,14.5,39.43,53.33939,-6.22027,116.15,0,12.77
373,1,2,14.7,38.83,53.34107,-6.25536,43.25,2,20.24
374,1,3,3.9,38.41,53.34783,-6.22951,159.92,0,16.61
375,0,2,6.6,38.85,53.34729,-6.23482,109.1,0,15.63
376,0,1,7.6,38.29,53.33716,-6.2575,58.08,0,26.67
377,0,0,12.5,38.0,53.34344,-6.241,100.48,2,25.51
378,1,2,5.7,38.16,53.32263,-6.25171,145.27,2,11.95
379,0,2,4.9,38.96,53.32825,-6.25084,57.35,1,32.71
380,1,2,7.0,38.06,53.33187,-6.23878,86.68,0,10.59
381,0,0,11.9,38.45,53.32768,-6.2556,76.95,2,19.27
382,1,2,3.5,38.44,53.33336,-6.22558,184.08,2,19.35
383,0,1,1.0,38.77,53.3387,-6.23095,191.44,3,20.66
384,0,3,4.4,39.18,53.34487,-6.23604,147.89,0,10.52
385,0,0,14.3,40.51,53.32806,-6.22272,83.11,1,12.33
386,0,0,0.8,37.8,53.3406,-6.25137,73.05,1,11.82
387,1,1,1.1,38.38,53.32155,-6.24666,123.02,1,25.12
388,0,3,9.2,37.82,53.32175,-6.24155,71.45,1,11.7
389,1,0,7.7,38.61,53.32197,-6.25,108.66,1,16.67
390,1,2,3.8,38.58,53.34262,-6.22408,77.62,0,18.48
391,0,2,11.3,38.55,53.33838,-6.23519,129.66,2,21.13
392,1,2,8.1,39.88,53.34738,-6.24787,88.77,3,17.33
393,0,0,7.2,37.14,53.33554,-6.2512,102.71,0,26.97
394,0,1,9.3,37.94,53.32201,-6.2513,60.63,0,20.95
395,0,0,4.4,39.06,53.3394,-6.24324,93.3,0,23.32
396,0,2,11.5,38.55,53.33456,-6.24281,90.26,2,30.22
397,0,3,9.9,38.62,53.33026,-6.24147,97.56,0,16.24
